Gen: 183. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 7
Gen: 184. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 8
Gen: 185. Avg: 100, Gen Max: 100, Max: 100, Gen. Max Repeated: 9
Gen: 186. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 10
Gen: 187. Avg: 100, Gen Max: 100, Max: 100, Gen. Max Repeated: 11
Gen: 188. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 12
Gen: 189. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 13
Gen: 190. Avg: 100, Gen Max: 100, Max: 100, Gen. Max Repeated: 14
Gen: 191. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 15
Gen: 192. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 16
Gen: 193. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 17
Gen: 194. Avg: 100, Gen Max: 100, Max: 100, Gen. Max Repeated: 18
Gen: 195. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 19
Gen: 196. Avg: 100, Gen Max: 100, Max: 100, Gen. Max Repeated: 20
Regenerating population
Gen: 197. Avg: 56, Gen Max: 75, Max: 100, Gen. Max Repeated: 1
Gen: 198. Avg: 76, Gen Max: 100, Max: 100, Gen. Max Repeated: 1
Gen: 199. Avg: 98, Gen Max: 100, Max: 100, Gen. Max Repeated: 1
Gen: 200. Avg: 100, Gen Max: 100, Max: 100, Gen. Max Repeated: 2
Gen: 201. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 3
Gen: 202. Avg: 100, Gen Max: 100, Max: 100, Gen. Max Repeated: 4
Gen: 203. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 5
Gen: 204. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 6
Gen: 205. Avg: 100, Gen Max: 100, Max: 100, Gen. Max Repeated: 7
Gen: 206. Avg: 100, Gen Max: 100, Max: 100, Gen. Max Repeated: 8
Gen: 207. Avg: 100, Gen Max: 100, Max: 100, Gen. Max Repeated: 9
Gen: 208. Avg: 100, Gen Max: 100, Max: 100, Gen. Max Repeated: 10
Gen: 209. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 11
Gen: 210. Avg: 100, Gen Max: 100, Max: 100, Gen. Max Repeated: 12
Gen: 211. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 13
Gen: 212. Avg: 100, Gen Max: 100, Max: 100, Gen. Max Repeated: 14
Gen: 213. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 15
Gen: 214. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 16
Gen: 215. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 17
Gen: 216. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 18
Gen: 217. Avg: 100, Gen Max: 100, Max: 100, Gen. Max Repeated: 19
Gen: 218. Avg: 100, Gen Max: 100, Max: 100, Gen. Max Repeated: 20
Regenerating population
Gen: 219. Avg: 57, Gen Max: 78, Max: 100, Gen. Max Repeated: 1
Gen: 220. Avg: 79, Gen Max: 100, Max: 100, Gen. Max Repeated: 1
Gen: 221. Avg: 96, Gen Max: 100, Max: 100, Gen. Max Repeated: 1
Gen: 222. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 2
Gen: 223. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 3
Gen: 224. Avg: 100, Gen Max: 100, Max: 100, Gen. Max Repeated: 4
Gen: 225. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 5
Gen: 226. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 6
Gen: 227. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 7
Gen: 228. Avg: 100, Gen Max: 100, Max: 100, Gen. Max Repeated: 8
Gen: 229. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 9
Gen: 230. Avg: 100, Gen Max: 100, Max: 100, Gen. Max Repeated: 10
Gen: 231. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 11
Gen: 232. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 12
Gen: 233. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 13
Gen: 234. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 14
Gen: 235. Avg: 100, Gen Max: 100, Max: 100, Gen. Max Repeated: 15
Gen: 236. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 16
Gen: 237. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 17
Gen: 238. Avg: 99, Gen Max: 100, Max: 100, Gen. Max Repeated: 18
Gen: 239. Avg: 100, Gen Max: 100, Max: 100, Gen. Max Repeated: 19
Gen: 240. Avg: 100, Gen Max: 100, Max: 100, Gen. Max Repeated: 20
Regenerating population
Gen: 241. Avg: 56, Gen Max: 76, Max: 100, Gen. Max Repeated: 1
Gen: 242. Avg: 73, Gen Max: 100, Max: 100, Gen. Max Repeated: 1
Gen: 243. Avg: 96, Gen Max: 100, Max: 100, Gen. Max Repeated: 1
